,Label 0,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Max,Totals,Coverage,Purity
Cluster 1,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0002,0.5000
Cluster 2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0001,1.0000
Cluster 3,0.0000,0.0000,3.0000,5.0000,1.0000,0.0000,3.0000,0.0000,1.0000,0.0000,5.0000,13.0000,0.0013,0.3846
Cluster 4,0.0000,0.0000,1.0000,4.0000,3.0000,2.0000,2.0000,1.0000,0.0000,0.0000,4.0000,13.0000,0.0013,0.3077
Cluster 5,1.0000,0.0000,4.0000,4.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,4.0000,12.0000,0.0012,0.3333
Cluster 6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 8,1.0000,0.0000,7.0000,12.0000,5.0000,0.0000,2.0000,11.0000,0.0000,0.0000,12.0000,38.0000,0.0038,0.3158
Cluster 9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 10,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0001,1.0000
Cluster 11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 12,1.0000,0.0000,5.0000,1.0000,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,11.0000,0.0011,0.4545
Cluster 13,0.0000,0.0000,0.0000,4.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,5.0000,0.0005,0.8000
Cluster 14,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0001,1.0000
Cluster 15,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0001,1.0000
Cluster 16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
