1,3,2
1,7,2
1,9,2
1,0,7
1,4,7
1,6,7
1,8,7
2,0,7
2,2,7
2,3,7
2,4,7
2,5,7
2,7,7
2,8,7
2,9,7
3,0,3
3,2,3
3,5,3
3,7,3
3,8,3
3,9,3
3,1,5
3,3,6
6,0,5
6,3,5
6,5,5
6,7,5
6,8,5
6,9,5
6,1,7
6,2,7
6,4,7
6,6,7
8,8,3
8,9,3
8,0,6
8,1,6
8,2,6
8,3,6
8,4,6
8,5,6
8,6,6
8,7,6
8,8,7
9,0,6
9,8,6
9,1,7
9,7,7
10,0,2
10,2,2
10,5,2
10,7,2
10,8,2
10,9,2
10,1,5
10,6,5
10,3,7
10,4,7
12,0,2
12,7,2
12,1,5
12,3,5
15,1,7
15,8,7
16,2,2
16,3,2
16,5,2
16,7,2
19,8,5
19,0,6
19,2,6
19,3,6
19,5,6
19,9,6
19,1,7
19,4,7
19,6,7
19,7,7
24,0,2
24,7,2
24,1,5
24,3,5
34,0,2
34,1,6
34,7,6
34,8,6
34,9,6
34,3,7
37,5,3
37,7,3
38,8,3
38,9,3
39,8,2
39,0,3
39,2,3
39,3,3
39,4,3
39,5,3
39,7,3
39,9,3
39,1,5
39,6,5
42,1,5
42,7,5
42,2,6
42,3,6
42,4,6
42,8,6
42,0,7
42,5,7
42,6,7
42,9,7
46,0,5
46,3,5
46,7,5
53,0,2
53,2,2
53,5,2
53,7,2
53,8,2
53,9,2
53,1,6
53,3,6
53,4,6
53,6,7
54,0,5
54,9,5
56,0,3
56,7,3
56,1,7
56,3,7
60,2,2
60,3,2
60,7,2
60,0,6
60,1,6
60,4,6
60,8,6
62,3,6
62,7,6
62,8,6
62,1,7
62,2,7
62,4,7
62,5,7
63,7,1
63,2,3
63,3,3
63,5,3
65,0,3
65,5,5
65,7,5
65,8,5
65,1,6
65,2,6
65,3,6
65,4,6
65,6,6
65,9,6
65,0,7
65,8,7
68,3,2
68,5,2
68,7,2
68,0,6
68,8,6
71,0,6
71,2,7
71,3,7
71,4,7
71,5,7
71,7,7
71,8,7
71,9,7
72,2,2
72,3,2
72,7,2
72,0,6
72,1,6
72,4,6
72,8,6
73,2,2
73,3,2
73,7,2
73,0,7
73,1,7
73,4,7
73,8,7
74,8,7
75,7,5
75,8,5
75,1,7
75,3,7
76,3,7
76,7,7
76,8,7
80,0,2
80,2,2
80,5,2
80,7,2
80,8,2
80,9,2
80,1,6
80,3,6
80,4,6
80,6,7
82,2,2
82,3,2
82,7,2
82,0,3
82,5,3
82,9,3
82,1,5
82,4,5
